termreason_desc,termtype_desc,recorddate_key,birthdate_key,EmployeeID,city_name,terminationdate_key,age,length_of_service,gender_full,orighiredate_key,department_name,job_title,store_name,gender_short,BUSINESS_UNIT,STATUS
0,0,0,0,6296,0,0,35,9,0,0,0,0,43,0,0,0
0,0,1,1,4778,1,1,61,10,1,1,1,1,26,1,0,0
0,0,2,2,5030,2,0,37,6,0,2,2,2,18,0,0,0
0,0,3,3,5918,3,0,37,10,0,3,3,3,36,0,0,0
0,0,0,4,7735,0,0,24,3,1,4,0,0,44,1,0,0
0,0,4,5,6871,4,0,25,0,0,5,2,2,1,0,0,0
0,0,5,6,5834,5,0,32,4,1,6,0,0,15,1,0,0
0,0,6,7,5670,0,0,36,8,1,7,4,4,42,1,0,0
0,0,7,8,2189,3,0,58,19,1,8,5,5,36,1,0,0
0,0,8,9,5729,2,0,38,9,0,9,0,0,18,0,0,0
0,0,2,10,4244,0,0,42,9,1,10,2,2,42,1,0,0
0,0,3,11,5171,0,0,44,13,1,11,4,4,42,1,0,0
0,0,9,12,8202,6,0,22,2,0,12,4,4,16,0,0,0
0,0,1,13,3920,7,0,47,12,0,13,1,1,31,0,0,0
0,0,8,14,5547,2,0,39,10,1,14,0,0,18,1,0,0
0,0,9,15,4452,8,0,50,17,0,15,4,4,46,0,0,0
0,0,6,16,2058,0,0,57,19,1,16,1,1,41,1,0,0
0,0,5,17,6038,9,0,30,3,0,17,0,0,28,0,0,0
0,0,9,18,4684,1,0,48,16,0,18,2,2,26,0,0,0
0,0,9,19,3140,0,0,57,21,0,19,5,5,42,0,0,0
0,0,2,20,1992,0,0,54,15,0,20,1,1,41,0,0,0
0,0,8,21,6947,4,0,28,4,0,21,0,0,1,0,0,0
0,0,0,22,2834,3,0,57,20,0,22,1,1,36,0,0,0
0,0,0,23,7248,8,0,28,5,1,23,0,0,46,1,0,0
0,0,5,24,4698,10,0,40,8,0,24,1,1,8,0,0,0
0,0,4,25,4845,11,0,40,9,1,25,2,2,21,1,0,0
0,0,8,26,5145,0,0,43,12,0,26,4,4,42,0,0,0
0,0,6,27,7271,0,0,24,1,0,27,1,1,44,0,0,0
0,0,2,28,2739,12,2,64,13,1,28,5,5,12,1,0,0
0,0,8,29,6321,1,0,33,7,0,29,3,3,26,0,0,0
0,0,9,30,7959,0,0,24,3,1,30,3,3,44,1,0,0
0,0,8,31,5642,3,0,39,10,1,31,0,0,36,1,0,0
0,0,7,32,3533,0,0,51,16,0,32,5,5,42,0,0,0
0,0,2,33,5916,1,0,30,3,1,33,0,0,26,1,0,0
0,0,1,34,2901,1,0,52,15,0,34,5,5,26,0,0,0
0,0,9,35,7888,11,0,24,3,1,35,4,4,21,1,0,0
0,0,8,36,5724,13,3,38,9,1,36,2,2,11,1,0,0
0,0,1,37,1541,3,4,59,19,1,37,5,5,36,1,0,0
0,0,8,38,6348,11,0,33,7,1,38,0,0,21,1,0,0
0,0,9,39,7832,2,0,24,4,0,39,4,4,18,0,0,0
0,0,9,40,7161,14,0,30,6,1,40,0,0,2,1,0,0
0,0,9,41,4305,14,0,51,17,0,41,1,1,2,0,0,0
0,0,9,42,2341,1,0,61,23,0,42,5,5,26,0,0,0
1,1,10,43,4030,7,5,65,13,1,43,1,1,31,1,0,1
0,0,1,44,4917,15,0,41,10,0,44,2,2,22,0,0,0
0,0,6,45,2271,8,0,56,18,1,45,5,5,46,1,0,0
0,0,9,46,7304,12,0,28,6,1,46,0,0,12,1,0,0
0,0,5,47,6846,11,0,24,0,1,47,0,0,21,1,0,0
0,0,1,48,5967,0,0,33,5,1,48,1,1,43,1,0,0
0,0,3,49,6537,12,0,32,7,1,49,2,2,12,1,0,0
0,0,3,50,7099,0,0,28,5,0,50,5,5,44,0,0,0
0,0,2,51,6082,11,6,29,2,0,51,0,0,21,0,0,0
0,0,6,52,6048,16,0,33,6,1,52,0,0,17,1,0,0
0,0,9,53,6418,17,0,35,9,0,53,0,0,5,0,0,0
0,0,1,54,6259,8,0,30,4,0,54,2,2,46,0,0,0
0,0,1,55,4341,6,0,44,11,1,55,1,1,16,1,0,0
0,0,0,56,4728,2,0,47,15,1,56,2,2,18,1,0,0
0,0,7,57,6499,2,0,31,5,1,57,3,3,18,1,0,0
0,0,0,58,2354,2,0,60,22,1,58,5,5,18,1,0,0
0,0,9,59,8117,18,0,22,3,0,59,4,4,32,0,0,0
0,0,1,60,7330,0,0,22,0,0,60,1,1,44,0,0,0
0,0,6,61,2699,7,0,54,17,1,61,5,5,31,1,0,0
0,0,0,20,1992,0,0,62,23,0,20,1,1,41,0,0,0
0,0,6,62,5597,2,0,37,8,0,62,0,0,18,0,0,0
0,0,2,63,3547,0,0,46,11,1,63,5,5,42,1,0,0
0,0,1,64,3587,11,0,48,13,0,64,1,1,21,0,0,0
0,0,3,65,6600,0,0,32,7,0,65,3,3,43,0,0,0
0,0,5,66,4143,2,7,61,10,1,66,1,1,18,1,0,0
0,0,0,67,4264,0,0,50,17,0,67,2,2,42,0,0,0
0,0,5,68,6485,11,8,27,1,0,68,0,0,21,0,0,0
0,0,1,69,4586,19,0,43,11,1,69,1,1,30,1,0,0
0,0,1,70,6899,7,0,26,1,1,70,3,3,31,1,0,0
0,0,4,71,6364,1,0,29,3,1,71,4,4,26,1,0,0
0,0,2,72,3400,6,0,46,11,0,72,5,5,16,0,0,0
0,0,6,73,2680,6,0,54,17,0,73,5,5,16,0,0,0
0,0,8,74,6658,18,0,30,5,0,74,4,4,32,0,0,0
0,0,8,75,4077,17,0,49,15,0,75,3,3,5,0,0,0
0,0,8,76,4970,2,0,44,12,1,76,2,2,18,1,0,0
0,0,4,77,2431,20,0,53,16,0,77,5,5,6,0,0,0
0,0,1,78,5193,6,0,39,9,0,78,2,2,16,0,0,0
0,0,2,79,5327,21,0,35,5,1,79,2,2,33,1,0,0
0,0,7,80,4410,0,0,46,13,1,80,0,0,42,1,0,0
0,0,9,81,8211,1,0,22,2,0,81,4,4,26,0,0,0
0,0,6,82,7023,6,9,26,2,1,82,3,3,16,1,0,0
0,0,6,83,5632,5,0,37,8,0,83,2,2,15,0,0,0
0,0,8,84,6835,5,0,29,5,0,84,3,3,15,0,0,0
0,0,2,85,2482,15,0,51,13,0,85,5,5,22,0,0,0
0,0,5,86,5803,8,0,32,4,1,86,1,1,46,1,0,0
0,0,3,87,7991,1,0,21,1,0,87,4,4,26,0,0,0
0,0,4,88,4036,8,0,45,11,0,88,3,3,46,0,0,0
0,0,0,89,6811,5,0,31,7,1,89,3,3,15,1,0,0
0,0,4,90,4047,16,0,45,11,0,90,1,1,17,0,0,0
0,0,5,91,5449,4,0,35,6,1,91,1,1,1,1,0,0
0,0,4,92,1898,4,0,56,17,0,92,2,6,1,0,0,0
0,0,2,93,5148,2,0,37,6,0,93,2,2,18,0,0,0
0,0,4,94,1755,11,0,57,18,0,94,5,5,21,0,0,0
0,0,7,95,1735,11,0,60,21,0,95,4,7,21,0,0,0
0,0,4,96,6458,0,0,28,2,0,96,3,3,43,0,0,0
0,0,3,36,5724,13,3,39,10,1,36,2,2,11,1,0,0
0,0,4,97,5840,2,0,33,5,0,97,0,0,18,0,0,0
0,0,3,98,8023,0,10,21,1,0,98,4,4,44,0,0,0
0,0,7,99,3517,21,0,51,16,1,99,1,1,33,1,0,0
0,0,6,100,4681,8,0,43,11,0,100,4,4,46,0,0,0
0,0,9,101,1975,16,0,63,24,1,101,2,6,17,1,0,0
0,0,8,102,6360,2,0,33,7,1,102,3,3,18,1,0,0
0,0,1,103,4271,22,11,45,11,1,103,4,4,39,1,0,0
0,0,5,104,6080,0,0,30,3,1,104,1,1,43,1,0,0
0,0,5,105,6041,18,0,30,3,1,105,3,3,32,1,0,0
0,0,6,106,7261,0,0,24,1,0,106,1,1,44,0,0,0
0,0,6,107,5462,23,3,38,8,1,107,5,5,20,1,0,0
0,0,5,108,1612,0,12,57,17,1,108,1,8,41,1,0,0
0,0,1,109,5529,6,0,37,7,1,109,2,2,16,1,0,0
0,0,3,110,7881,24,0,22,1,1,110,4,4,29,1,0,0
1,1,11,111,5071,0,13,65,13,1,111,5,5,35,1,0,1
0,0,7,42,2341,1,0,57,19,0,42,5,5,26,0,0,0
0,0,3,112,7824,1,0,22,2,0,112,4,4,26,0,0,0
0,0,2,113,1632,1,14,56,16,1,113,1,8,26,1,0,0
0,0,3,114,7232,0,0,27,4,0,114,5,5,44,0,0,0
0,0,5,115,3770,9,0,45,11,0,115,1,1,28,0,0,0
2,1,12,116,7464,1,15,23,1,0,116,4,4,26,0,0,1
0,0,6,117,5522,20,0,38,8,1,117,0,0,6,1,0,0
0,0,2,118,6183,6,0,28,1,1,118,0,0,16,1,0,0
0,0,1,119,6961,5,0,25,1,1,119,3,3,15,1,0,0
0,0,2,120,6328,0,0,27,1,1,120,0,0,43,1,0,0
0,0,5,121,5421,0,16,35,6,0,121,4,4,42,0,0,0
0,0,6,122,6495,24,0,30,4,0,122,0,0,29,0,0,0
0,0,7,123,6241,3,0,33,6,1,123,3,3,36,1,0,0
0,0,5,124,6775,20,0,24,0,1,124,3,3,6,1,0,0
0,0,4,125,1517,0,17,58,18,0,125,6,9,35,0,1,0
0,0,8,90,4048,2,0,49,15,0,90,1,1,18,0,0,0
0,0,4,126,4344,22,11,43,10,1,126,4,4,39,1,0,0
0,0,1,127,5200,23,3,39,9,0,127,5,5,20,0,0,0
0,0,5,128,1431,8,18,58,18,0,128,1,8,46,0,0,0
0,0,1,129,2950,1,0,52,15,1,129,5,5,26,1,0,0
0,0,9,130,5845,9,0,40,12,0,130,0,0,28,0,0,0
0,0,2,131,2450,10,0,51,14,0,131,5,5,8,0,0,0
0,0,6,132,5546,10,0,37,8,1,132,2,2,8,1,0,0
0,0,6,133,4892,11,0,42,11,1,133,2,2,21,1,0,0
0,0,3,134,6412,24,0,33,7,0,134,0,0,29,0,0,0
0,0,5,135,6820,0,0,24,0,0,135,4,4,43,0,0,0
0,0,8,136,2981,8,0,54,18,0,136,1,1,46,0,0,0
0,0,3,137,4267,0,0,49,16,1,137,2,2,42,1,0,0
0,0,8,138,5191,2,0,42,12,1,138,2,2,18,1,0,0
0,0,7,139,5107,17,0,42,11,0,139,4,4,5,0,0,0
0,0,6,140,5827,0,0,35,7,1,140,5,5,43,1,0,0
0,0,1,141,2243,2,0,55,17,1,141,5,5,18,1,0,0
0,0,7,142,2319,14,0,57,19,1,142,3,10,2,1,0,0
0,0,3,143,2931,7,0,56,19,0,143,5,5,31,0,0,0
0,0,3,144,7966,17,0,21,1,1,144,0,0,5,1,0,0
0,0,3,145,6590,2,0,32,7,1,145,3,3,18,1,0,0
0,0,2,146,1355,0,19,57,17,0,146,7,11,35,0,1,0
0,0,5,147,6766,11,0,25,0,1,147,0,0,21,1,0,0
0,0,6,148,3779,2,0,48,14,0,148,1,1,18,0,0,0
0,0,9,149,2569,0,0,59,22,1,149,0,0,41,1,0,0
0,0,4,150,3483,0,0,48,13,0,150,5,5,42,0,0,0
0,0,3,151,5832,8,0,38,10,0,151,1,1,46,0,0,0
0,0,8,152,2081,8,0,59,21,1,152,5,5,46,1,0,0
0,0,8,153,3871,13,3,50,16,1,153,5,5,11,1,0,0
0,0,3,154,6720,11,0,31,6,0,154,0,0,21,0,0,0
0,0,2,155,5995,18,0,30,2,1,155,3,3,32,1,0,0
0,0,0,156,6113,2,0,37,10,0,156,3,3,18,0,0,0
0,0,3,157,5490,0,0,41,11,0,157,4,4,42,0,0,0
0,0,4,158,3257,8,0,49,13,1,158,1,1,46,1,0,0
0,0,8,159,3267,0,0,53,17,0,159,5,5,42,0,0,0
0,0,5,160,1488,0,20,58,17,0,160,8,12,35,0,1,0
0,0,5,161,4130,7,0,43,10,1,161,1,1,31,1,0,0
0,0,0,162,2731,0,0,58,21,0,162,3,3,41,0,0,0
0,0,8,163,6609,0,0,31,6,1,163,3,3,43,1,0,0
0,0,9,164,3551,17,0,55,20,1,164,3,3,5,1,0,0
0,0,0,165,8227,5,0,20,1,0,165,4,4,15,0,0,0
0,0,3,166,7039,0,21,28,5,1,166,5,5,44,1,0,0
0,0,2,167,1906,0,0,54,15,1,167,5,5,41,1,0,0
0,0,5,168,4656,1,0,41,8,0,168,2,2,26,0,0,0
0,0,0,169,5033,17,0,45,14,1,169,4,4,5,1,0,0
0,0,8,170,4843,2,0,44,13,1,170,2,2,18,1,0,0
0,0,7,171,1881,11,0,59,20,1,171,5,5,21,1,0,0
0,0,0,172,6377,25,0,35,9,0,172,0,0,38,0,0,0
1,1,13,173,3183,16,22,65,13,1,173,5,5,17,1,0,1
0,0,4,174,6382,2,0,29,3,1,174,3,3,18,1,0,0
0,0,2,175,5404,6,0,34,5,1,175,2,2,16,1,0,0
0,0,1,176,6722,0,0,27,2,0,176,4,4,43,0,0,0
0,0,0,177,1955,8,0,62,23,0,177,5,5,46,0,0,0
0,0,1,178,3569,2,0,49,14,0,178,1,1,18,0,0,0
0,0,8,179,7773,18,0,22,1,0,179,4,4,32,0,0,0
0,0,1,180,2042,26,3,56,18,0,180,9,13,14,0,0,0
0,0,7,181,5697,18,0,37,9,0,181,3,3,32,0,0,0
0,0,5,182,5817,6,0,32,4,1,182,0,0,16,1,0,0
0,0,3,183,3203,0,0,54,18,0,183,5,5,42,0,0,0
0,0,0,184,7292,7,0,28,5,1,184,3,3,31,1,0,0
0,0,9,185,7352,8,0,28,6,1,185,3,3,46,1,0,0
0,0,6,186,5116,11,0,41,10,1,186,2,2,21,1,0,0
0,0,6,187,4326,5,0,45,12,1,187,1,1,15,1,0,0
0,0,0,188,6970,0,0,30,6,1,188,4,4,43,1,0,0
0,0,4,189,6797,2,0,25,1,1,189,3,3,18,1,0,0
0,0,1,190,5786,16,23,35,6,0,190,0,0,17,0,0,0
0,0,5,191,2791,11,0,50,14,1,191,5,5,21,1,0,0
0,0,3,192,1615,25,24,63,23,1,192,9,13,38,1,0,0
0,0,8,193,8042,13,3,20,0,0,193,4,4,11,0,0,0
0,0,0,194,7331,17,0,27,5,0,60,0,0,5,0,0,0
0,0,4,195,3410,2,25,64,13,1,194,5,5,18,1,0,0
0,0,0,196,5175,1,0,45,14,1,195,2,2,26,1,0,0
0,0,4,197,1610,2,26,58,18,0,196,5,5,18,0,0,0
0,0,0,198,4527,21,0,48,16,1,197,2,2,33,1,0,0
0,0,9,199,8291,8,0,21,2,1,198,4,4,46,1,0,0
0,0,5,200,4881,21,27,59,8,0,199,1,1,33,0,0,0
0,0,9,201,8003,24,0,23,3,0,200,4,4,29,0,0,0
0,0,8,202,2673,18,0,56,19,0,201,5,5,32,0,0,0
0,0,4,203,5866,17,0,33,5,0,202,0,0,5,0,0,0
0,0,7,204,6333,6,0,32,6,1,203,0,0,16,1,0,0
0,0,2,205,3418,5,0,46,11,0,204,5,5,15,0,0,0
0,0,3,206,3878,17,0,51,17,0,205,3,3,5,0,0,0
0,0,1,207,3603,2,0,48,13,0,206,1,1,18,0,0,0
0,0,5,208,6800,15,0,24,0,1,207,3,3,22,1,0,0
0,0,9,209,7380,7,0,28,5,1,208,4,4,31,1,0,0
0,0,1,210,2959,18,0,52,15,0,209,5,5,32,0,0,0
0,0,4,211,4581,0,0,42,10,1,210,0,0,42,1,0,0
0,0,0,212,7174,16,0,28,5,0,211,3,3,17,0,0,0
0,0,8,213,7809,7,0,22,1,1,212,4,4,31,1,0,0
0,0,1,80,4410,0,0,44,11,1,80,0,0,42,1,0,0
0,0,6,214,7218,23,3,24,1,0,213,0,0,20,0,0,0
0,0,0,215,6124,0,0,37,10,0,214,2,2,43,0,0,0
0,0,6,216,5889,1,0,35,7,0,215,0,0,26,0,0,0
0,0,2,217,3567,5,0,46,11,1,216,5,5,15,1,0,0
0,0,3,218,7373,2,0,26,3,1,217,4,4,18,1,0,0
0,0,8,219,7326,5,0,25,3,0,218,3,3,15,0,0,0
0,0,2,220,5674,0,28,32,4,0,219,4,4,42,0,0,0
0,0,1,221,6106,3,0,32,5,0,220,3,3,36,0,0,0
0,0,4,222,5006,10,29,60,8,1,221,2,2,8,1,0,0
0,0,4,223,3158,0,0,50,14,1,222,5,5,42,1,0,0
0,0,9,224,8309,11,0,21,2,0,223,4,4,21,0,0,0
0,0,7,225,7764,0,0,21,0,1,224,0,0,44,1,0,0
0,0,7,226,4883,2,0,43,12,1,225,2,2,18,1,0,0
0,0,7,227,6232,8,0,33,6,0,226,2,2,46,0,0,0
0,0,1,228,5292,0,0,38,8,1,227,4,4,42,1,0,0
0,0,9,229,5659,6,0,42,13,0,228,2,2,16,0,0,0
0,0,8,230,7192,11,0,26,3,1,229,3,3,21,1,0,0
0,0,8,231,5082,0,30,64,12,1,230,5,5,35,1,0,0
0,0,1,232,3253,17,0,50,14,1,231,0,0,5,1,0,0
0,0,5,233,4112,19,0,44,10,0,232,1,1,30,0,0,0
0,0,8,234,6945,8,0,28,4,0,233,0,0,46,0,0,0
0,0,2,235,4170,8,0,42,9,1,234,4,4,46,1,0,0
0,0,8,236,6758,17,0,30,5,1,235,0,0,5,1,0,0
0,0,2,237,5477,27,11,34,4,0,236,0,0,23,0,0,0
0,0,0,238,4177,1,0,50,17,1,237,1,1,26,1,0,0
0,0,7,239,6944,8,0,27,3,1,238,0,0,46,1,0,0
0,0,8,240,2577,20,0,56,19,1,239,5,5,6,1,0,0
0,0,8,241,5886,14,0,37,9,1,240,2,2,2,1,0,0
0,0,3,242,8069,23,3,21,1,1,241,4,4,20,1,0,0
0,0,5,243,3623,19,0,46,11,0,242,1,1,30,0,0,0
0,0,6,244,6837,16,31,27,3,1,243,3,3,17,1,0,0
0,0,3,184,7292,7,0,27,4,1,184,3,3,31,1,0,0
0,0,4,245,5345,0,0,37,7,1,244,4,4,42,1,0,0
0,0,7,246,5949,6,0,35,7,1,245,0,0,16,1,0,0
0,0,4,247,3943,0,0,45,11,0,246,1,1,42,0,0,0
0,0,0,248,6564,11,0,33,8,0,247,0,0,21,0,0,0
0,0,3,249,4443,11,0,48,15,1,248,2,2,21,1,0,0
0,0,8,250,3625,0,0,51,16,0,249,1,1,42,0,0,0
0,0,6,251,3923,11,0,48,13,0,250,1,1,21,0,0,0
